job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Chaplain (Clinical Pastoral Tr,DBH,11,74893.0,2025-08-11,CS - Reg,2025,1,11.0,50K-75K
"Deputy Director, Crisis Servic",DBH,14,126000.0,2025-12-01,MSS - Temp,2025,1,14.0,125K-150K
Psychiatric Nurse,DBH,09,115907.0,2011-12-19,CS - Reg,2011,15,9.0,100K-125K
Recreation Therapist,DBH,12,121434.0,2010-08-02,CS - Reg,2010,16,12.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2012-05-21,CS - Reg,2012,14,9.0,100K-125K
Pharmacist,DBH,12,118558.0,2013-12-16,CS - Reg,2013,13,12.0,100K-125K
Psychiatric Nurse,DBH,11,121904.0,2011-05-09,CS - Reg,2011,15,11.0,100K-125K
Medical Officer Psych Res,DBH,00,76193.0,2024-07-01,CS - Temp,2024,2,0.0,75K-100K
Behavioral Health Technician,DBH,08,61909.0,2023-08-28,CS - Reg,2023,3,8.0,50K-75K
Early Childhood Clin Spec,DBH,13,106763.0,2023-01-30,CS - Term,2023,3,13.0,100K-125K
Clinical Psychologist Intern,DBH,04,37336.0,2025-07-01,CS - Temp,2025,1,4.0,Under 50K
Medical Officer (Psychiatry),DBH,05,323315.0,2021-07-01,CS - Reg,2021,5,5.0,150K+
Medical Officer Psych Training,DBH,5B,190729.5,1987-10-01,CS - Reg,1987,39,,150K+
Psychiatric Nurse,DBH,09,108430.0,2021-11-08,CS - Term,2021,5,9.0,100K-125K
Food Service Worker,DBH,04,23.51,2023-07-17,CS - Reg,2023,3,4.0,Under 50K
Program Manager (Mobile Unit),DBH,13,105100.6,2018-04-02,MSS - Reg,2018,8,13.0,100K-125K
Supv Medical Officer Psych,DBH,MD6,300000.0,2023-08-14,MSS - Reg,2023,3,,150K+
Supervisory Psychiatric Nurse,DBH,13,119189.71,2000-04-07,MSS - Reg,2000,26,13.0,100K-125K
Medical Officer Psych Res,DBH,00,70325.0,2025-09-22,CS - Temp,2025,1,0.0,50K-75K
Treatment & Recovery Support S,DBH,12,115680.0,2013-07-01,CS - Reg,2013,13,12.0,100K-125K
Project Director (Emhp And Fws,DBH,14,114441.25,2021-04-12,MSS - Reg,2021,5,14.0,100K-125K
Clinical Psychologist,DBH,13,117029.0,2019-07-01,CS - Reg,2019,7,13.0,100K-125K
Transitional Age Youth Proj Di,DBH,14,128922.42,2016-06-20,MSS - Reg,2016,10,14.0,125K-150K
Motor Vehicle Operator,DBH,06,32.61,2002-10-21,CS - Reg,2002,24,6.0,Under 50K
Administrative Specialist,DBH,13,119916.0,1992-06-01,CS - Reg,1992,34,13.0,100K-125K
Inventory Management Specialis,DBH,11,77299.0,2024-11-18,CS - Reg,2024,2,11.0,75K-100K
Medical Officer (Psychiatry),DBH,05,367205.0,2002-11-18,CS - Reg,2002,24,5.0,150K+
Attorney Advisor,DBH,14,150262.0,2017-04-03,LS - Reg,2017,9,14.0,150K+
Comm Behavioral Hlth Spec,DBH,11,79705.0,2022-12-19,CS - Reg,2022,4,11.0,75K-100K
Ombudsman Prog Ofcr (Child/You,DBH,14,133328.56,2004-01-26,MSS - Reg,2004,22,14.0,125K-150K
Behavioral Health Technician,DBH,08,67315.0,2017-09-05,CS - Reg,2017,9,8.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,1992-09-25,CS - Reg,1992,34,8.0,50K-75K
Supervisory Creative Arts Ther,DBH,13,99513.45,2011-06-20,MSS - Reg,2011,15,13.0,75K-100K
Psychiatric Nurse,DBH,09,104691.0,2023-03-13,CS - Reg,2023,3,9.0,100K-125K
Creative Arts Therapist (Music,DBH,11,96535.0,2012-07-16,CS - Reg,2012,14,11.0,75K-100K
Occupational Therapist,DBH,12,127190.0,2017-10-02,CS - Reg,2017,9,12.0,125K-150K
Clinical Psychologist,DBH,13,134143.0,2018-07-30,CS - Reg,2018,8,13.0,125K-150K
Psychiatric Nurse,DBH,09,104691.0,2014-10-20,CS - Reg,2014,12,9.0,100K-125K
Behavioral Health Technician,DBH,08,70919.0,2008-06-09,CS - Reg,2008,18,8.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2010-02-16,CS - Reg,2010,16,9.0,100K-125K
Clinical Administrator,DBH,13,99513.45,2018-06-04,MSS - Reg,2018,8,13.0,75K-100K
Medical Officer (Psychiatry),DBH,5C,93949.0,2014-07-28,CS - Reg,2014,12,,75K-100K
Food Service Worker,DBH,04,22.75,2024-02-12,CS - Term,2024,2,4.0,Under 50K
Board Member,DCG,00,20000.0,2023-01-02,ExS - Term,2023,3,0.0,Under 50K
Lead Comm Behavioral Hlth Spec,DBH,12,101290.0,2019-11-12,CS - Reg,2019,7,12.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,2005-03-21,CS - Reg,2005,21,8.0,50K-75K
Forensic Mental Health Coordin,DBH,12,107046.0,2014-06-16,CS - Reg,2014,12,12.0,100K-125K
Program Analyst,DCG,12,85794.0,2023-07-03,CS - Term,2023,3,12.0,75K-100K
Special Assistant,DCHR,08,148088.41,2018-05-29,ExS - Reg,2018,8,8.0,125K-150K
Management Analyst,DCHR,12,85794.0,2015-10-13,CS - Reg,2015,11,12.0,75K-100K
Hr Specialist (Emp. Benefits),DCHR,12,88300.0,2017-07-17,CS - Term,2017,9,12.0,75K-100K
Lead Human Resources Specialis,DCA,14,141707.0,2014-06-16,CS - Reg,2014,12,14.0,125K-150K
Program Support Specialist,DCOA,11,84517.0,2021-09-27,CS - Term,2021,5,11.0,75K-100K
Infection Control Coordinator,DBH,14,125643.79,2008-09-15,MSS - Reg,2008,18,14.0,125K-150K
Engagement Coordinator (Sor),DBH,12,98412.0,2019-08-05,CS - Term,2019,7,12.0,75K-100K
Psychiatric Nurse,DBH,11,125970.0,1996-05-13,CS - Reg,1996,30,11.0,125K-150K
Program Support Specialist,DCG,11,75775.0,2020-08-31,CS - Term,2020,6,11.0,75K-100K
Videographer,DCG,13,134139.0,1999-04-01,CS - Reg,1999,27,13.0,125K-150K
Customer Service Specialist,DCOA,11,86923.0,2018-10-01,CS - Reg,2018,8,11.0,75K-100K
Compliance Specialist,DBH,13,137561.0,2009-03-23,CS - Reg,2009,17,13.0,125K-150K
Program Analyst,DCHR,12,103333.0,2017-09-05,CS - Term,2017,9,12.0,100K-125K
Cadre Team Leader,DCNG,07,51456.0,2025-01-28,CS - Term,2025,1,7.0,50K-75K
Supvy Hr Spec (Hr Develop),DCHR,13,130000.0,2015-10-13,MSS - Reg,2015,11,13.0,125K-150K
Retirement Board Member,DCHR,00,25.0,2025-06-01,CS - Temp,2025,1,0.0,Under 50K
Program Analyst,DCOA,11,82111.0,2022-02-14,CS - Reg,2022,4,11.0,75K-100K
Electronics Technician,DCNG,11,96547.0,2014-08-11,CS - Reg,2014,12,11.0,75K-100K
Information Technology Special,DCOA,12,101290.0,2022-02-14,CS - Reg,2022,4,12.0,100K-125K
Program Assistant,DBH,09,80032.0,2008-07-21,CS - Reg,2008,18,9.0,75K-100K
"Director, Consumer & Family Af",DBH,15,127029.91,2021-07-06,MSS - Reg,2021,5,15.0,125K-150K
Lead Hr Spec. (Recruit/Place.),DCHR,13,96052.0,2022-05-09,CS - Reg,2022,4,13.0,75K-100K
Program Analyst,DCOA,11,86923.0,2008-01-07,CS - Reg,2008,18,11.0,75K-100K
"Deputy Director, Access Helpli",DBH,13,118807.48,2007-01-29,MSS - Reg,2007,19,13.0,100K-125K
Community Outreach Specialist,DBH,12,115680.0,2012-12-17,CS - Reg,2012,14,12.0,100K-125K
Program Administrator,DBH,13,99513.95,2022-06-06,MSS - Reg,2022,4,13.0,75K-100K
Human Resources Manager,DBH,14,131907.6,2000-08-17,MSS - Temp,2000,26,14.0,125K-150K
Psychiatric Nurse,DBH,09,115907.0,2008-05-12,CS - Reg,2008,18,9.0,100K-125K
Behavioral Health Technician,DBH,08,69117.0,2015-01-26,CS - Reg,2015,11,8.0,50K-75K
Deputy General Counsel,DCHR,01,190000.0,2012-06-04,LS - Reg,2012,14,1.0,150K+
Hr Specialist (Pffrb),DCHR,12,88300.0,1980-04-25,CS - Temp,1980,46,12.0,75K-100K
Training Instructor,DCNG,09,64144.0,2006-09-25,CS - Term,2006,20,9.0,50K-75K
Human Resources Assistant (Oa),DBH,07,47975.0,2023-08-28,CS - Reg,2023,3,7.0,Under 50K
Program Specialist,DBH,11,91735.0,1986-12-22,CS - Reg,1986,40,11.0,75K-100K
Psychiatric Nurse,DBH,11,105652.0,2022-10-11,CS - Reg,2022,4,11.0,100K-125K
Hr Spec (Recruitment/Placement,DCHR,11,67383.0,2011-08-09,CS - Reg,2011,15,11.0,50K-75K
"Meas., Anal. & Plan. Spec (Hr)",DCHR,12,83289.0,2016-07-05,CS - Reg,2016,10,12.0,75K-100K
Customer Service Specialist,DCOA,11,79705.0,2023-01-03,CS - Reg,2023,3,11.0,75K-100K
Behavioral Health Technician,DBH,08,63711.0,2023-06-20,CS - Reg,2023,3,8.0,50K-75K
Social Worker,DBH,12,118558.0,2003-09-22,CS - Reg,2003,23,12.0,100K-125K
Hr Spec. (Employee Benefits),DCHR,11,73677.0,2018-07-23,CS - Term,2018,8,11.0,50K-75K
Maintenance Mechanic,DCNG,10,34.09,2023-12-18,CS - Term,2023,3,10.0,Under 50K
Public Information Officer,DCHR,14,137329.0,2025-01-13,MSS - Reg,2025,1,14.0,125K-150K
Psychiatric Nurse,DBH,09,115907.0,2012-02-13,CS - Reg,2012,14,9.0,100K-125K
Lead Community Outreach Specia,DCOA,13,110185.0,2017-02-06,CS - Reg,2017,9,13.0,100K-125K
Grants Management Specialist,DBH,13,117029.0,2009-09-10,CS - Term,2009,17,13.0,100K-125K
Psychiatric Nurse,DBH,09,100952.0,2009-03-30,CS - Reg,2009,17,9.0,100K-125K
Maintenance Worker,DCNG,07,62712.0,2022-03-14,CS - Term,2022,4,7.0,50K-75K
A/V Production Specialist,DCG,11,86923.0,2007-10-29,CS - Reg,2007,19,11.0,75K-100K
Forensic Clinical Administrato,DBH,13,118453.94,2013-12-30,CS - Reg,2013,13,13.0,100K-125K
Writer Editor,DCHR,13,105001.0,2020-03-30,CS - Reg,2020,6,13.0,100K-125K
Program Analyst,DBH,13,134139.0,2013-10-21,CS - Reg,2013,13,13.0,125K-150K
Board Member,DCG,00,20000.0,2018-05-16,ExS - Reg,2018,8,0.0,Under 50K
A/V Production Specialist,DCG,11,89329.0,2016-11-14,CS - Reg,2016,10,11.0,75K-100K
Psychiatric Nurse,DBH,09,108430.0,2021-02-16,CS - Reg,2021,5,9.0,100K-125K
Psychiatric Nurse,DBH,09,112169.0,2022-06-06,CS - Reg,2022,4,9.0,100K-125K
Hr Spec (Hr Dev),DCHR,13,102018.0,2025-03-24,CS - Reg,2025,1,13.0,100K-125K
Maintenance Mechanic Leader,DCNG,10,80225.6,2009-04-13,CS - Term,2009,17,10.0,75K-100K
Cadre Team Leader,DCNG,07,58608.0,2023-10-10,CS - Term,2023,3,7.0,50K-75K
Clinic Services Coordinator,DBH,12,112802.0,1985-01-18,CS - Reg,1985,41,12.0,100K-125K
Creative Arts Ther (Dance),DBH,12,121434.0,2007-11-13,CS - Reg,2007,19,12.0,100K-125K
Transition Care Specialist,DCOA,12,112802.0,2014-09-08,CS - Reg,2014,12,12.0,100K-125K
Program Coord (Internship Prog,DBH,13,113607.0,2002-07-01,CS - Reg,2002,24,13.0,100K-125K
Compliance Specialist,DCHR,12,80784.0,2018-01-22,CS - Term,2018,8,12.0,75K-100K
Information Technology Special,DCNG,09,80032.0,2013-04-23,CS - Term,2013,13,9.0,75K-100K
Support Services Specialist (M,DCNG,12,115680.0,2014-06-02,CS - Reg,2014,12,12.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,2008-08-18,CS - Reg,2008,18,8.0,50K-75K
Project Monitor (Sor),DBH,12,101290.0,2025-09-22,CS - Term,2025,1,12.0,100K-125K
Claims Adjudicator,DBH,11,96547.0,2001-10-01,CS - Reg,2001,25,11.0,75K-100K
Food Service Worker,DBH,04,26.55,2016-07-11,CS - Reg,2016,10,4.0,Under 50K
Chief Of Staff,DCOA,15,165461.0,2017-10-18,MSS - Reg,2017,9,15.0,150K+
Hr Specialist (Emp. Benefits),DCHR,12,85794.0,2012-11-19,CS - Reg,2012,14,12.0,75K-100K
Program Support Asst Typ,DBH,08,72721.0,1990-09-28,CS - Reg,1990,36,8.0,50K-75K
Hr Spec (Employee Benefits),DCHR,09,59378.0,2016-06-13,CS - Term,2016,10,9.0,50K-75K
Senior Auditor_Analyst,DCA,14,138184.0,2013-09-09,CS - Reg,2013,13,14.0,125K-150K
Human Resource Specialist (Emp,DCHR,13,110967.0,2015-06-26,CS - Reg,2015,11,13.0,100K-125K
Medical Officer (Psychiatry),DBH,5C,368842.0,2015-07-01,CS - Reg,2015,11,,150K+
Chief Of Staff,DCG,09,166436.0,2021-09-27,ExS - Reg,2021,5,9.0,150K+
Program Manager,DCOA,14,125697.07,1986-12-15,MSS - Reg,1986,40,14.0,125K-150K
Special Police Officer,DBH,08,75787.0,2017-08-07,CS - Reg,2017,9,8.0,75K-100K
Maintenance Mechanic,DCNG,10,38.41,2003-05-04,CS - Term,2003,23,10.0,Under 50K
Chaplain,DBH,12,95534.0,2013-09-03,CS - Reg,2013,13,12.0,75K-100K
Special Assistant,DCG,15,150000.0,1993-10-01,CS - Reg,1993,33,15.0,125K-150K
Supervisory Producer,DCG,12,121146.72,2005-03-28,MSS - Reg,2005,21,12.0,100K-125K
It Spec. (Customer Support),DCHR,12,100827.0,1985-04-29,CS - Reg,1985,41,12.0,100K-125K
Mental Hlth Spec,DBH,11,82111.0,2022-03-28,CS - Reg,2022,4,11.0,75K-100K
Data Analyst And Evaluation Ma,DCG,13,119416.0,2022-08-01,MSS - Reg,2022,4,13.0,100K-125K
Lead Hr Spec. (Recruit/Place.),DCHR,13,119916.0,1984-07-09,CS - Reg,1984,42,13.0,100K-125K
Human Resources Business Partn,DCHR,14,117045.0,2018-07-09,CS - Reg,2018,8,14.0,100K-125K
Early Childhood Clin Spec,DBH,12,104168.0,2017-02-06,CS - Reg,2017,9,12.0,100K-125K
Program Analyst,DCOA,12,118558.0,2019-03-11,CS - Reg,2019,7,12.0,100K-125K
Medical Officer General Practi,DBH,3C,298722.0,1983-01-03,CS - Reg,1983,43,,150K+
Supervisory Clinical Psycholog,DBH,15,155000.0,2016-07-01,MSS - Reg,2016,10,15.0,150K+
Board Member,DCG,00,20000.0,2015-10-01,ExS - Term,2015,11,0.0,Under 50K
Supervisory Social Worker,DCOA,13,122418.02,2006-07-10,MSS - Reg,2006,20,13.0,100K-125K
Behavioral Health Technician,DBH,08,67315.0,2017-11-13,CS - Reg,2017,9,8.0,50K-75K
Behavioral Health Technician,DBH,08,60107.0,2023-08-28,CS - Reg,2023,3,8.0,50K-75K
Behavioral Health Technician,DBH,08,56503.0,2023-04-10,CS - Reg,2023,3,8.0,50K-75K
Comm Behavioral Hlth Spec,DBH,11,82111.0,2023-08-14,CS - Reg,2023,3,11.0,75K-100K
Learning And Talent Program Ma,DCHR,14,125000.0,2023-11-06,MSS - Reg,2023,3,14.0,100K-125K
Case Manager,DCNG,06,48055.0,2014-03-24,CS - Term,2014,12,6.0,Under 50K
Medical Support Asst (Oa),DBH,08,69117.0,2015-06-01,CS - Reg,2015,11,8.0,50K-75K
Student Intern,DCG,00A,20.0,2025-06-02,CS - Temp,2025,1,,Under 50K
Project Monitor (Sor),DBH,12,92656.0,2023-02-13,CS - Term,2023,3,12.0,75K-100K
Hr Spec (Employee Benefits),DCHR,09,55915.0,2024-02-12,CS - Term,2024,2,9.0,50K-75K
Care Coordinator,DBH,11,84517.0,2023-07-31,CS - Reg,2023,3,11.0,75K-100K
Utility System Repairer-Operat,DCNG,10,38.41,2022-05-09,CS - Term,2022,4,10.0,Under 50K
Supvy Hr Spec (Police/Fire Bd),DCHR,13,130413.8,1999-04-19,MSS - Reg,1999,27,13.0,125K-150K
Psychiatric Nurse,DBH,09,112169.0,2012-02-13,CS - Reg,2012,14,9.0,100K-125K
Grant Specialist,DBH,13,130717.0,2004-06-14,CS - Reg,2004,22,13.0,125K-150K
Maintenance Mechanic,DCNG,10,34.09,2023-05-22,CS - Term,2023,3,10.0,Under 50K
Student Intern,DCG,00A,20.0,2025-06-16,CS - Temp,2025,1,,Under 50K
Customer Service Specialist,DCOA,11,79705.0,2018-07-16,CS - Reg,2018,8,11.0,75K-100K
Comm Behavioral Hlth Spec,DBH,11,84517.0,2020-03-02,CS - Reg,2020,6,11.0,75K-100K
Public Space Coordinator,DCG,12,95816.0,2018-12-17,CS - Reg,2018,8,12.0,75K-100K
Security Escort,DCNG,08,63711.0,2022-06-21,CS - Term,2022,4,8.0,50K-75K
Director,DCG,E2,202052.27,2012-06-18,Exe - Reg,2012,14,,150K+
Hr Spec (Recruit & Placement),DCHR,12,80784.0,2018-07-09,CS - Reg,2018,8,12.0,75K-100K
Human Resources Manager,DCNG,14,147000.0,2014-02-24,MSS - Reg,2014,12,14.0,125K-150K
Utility Systems Operator Super,DCNG,11,78135.2,2017-11-27,MSS - Reg,2017,9,11.0,75K-100K
Early Childhood Clin Spec,DBH,12,101290.0,2022-08-01,CS - Reg,2022,4,12.0,100K-125K
Operations Specialist,DCG,12,103333.0,2024-08-26,CS - Reg,2024,2,12.0,100K-125K
Bus Services Manager,DCG,14,140000.0,2014-03-10,MSS - Reg,2014,12,14.0,125K-150K
Psychiatric Nurse,DBH,09,104691.0,2020-03-30,CS - Reg,2020,6,9.0,100K-125K
Management And Program Analyst,DCHR,12,85794.0,2025-11-17,CS - Reg,2025,1,12.0,75K-100K
Historic Preservation Spec,DCNG,11,84517.0,2017-04-03,CS - Reg,2017,9,11.0,75K-100K
Hr Specialist (Comp./Class.),DCHR,12,90805.0,2024-05-20,CS - Term,2024,2,12.0,75K-100K
Compliance Specialist,DCHR,12,83289.0,2022-09-12,CS - Term,2022,4,12.0,75K-100K
Training Instructor,DCNG,09,72088.0,2015-09-28,CS - Term,2015,11,9.0,50K-75K
Facility And Support Services,DCNG,12,118558.0,2023-07-31,CS - Term,2023,3,12.0,100K-125K
Community Behavioral Hlth Spec,DBH,09,64144.0,2023-07-03,CS - Reg,2023,3,9.0,50K-75K
Supervisory Social Worker,DCOA,13,122950.72,1986-01-21,MSS - Reg,1986,40,13.0,100K-125K
Compliance Specialist,DCHR,12,93311.0,2017-03-06,CS - Reg,2017,9,12.0,75K-100K
Supervisory Hr Specialist (Emp,DCHR,14,145000.0,2012-04-09,MSS - Reg,2012,14,14.0,125K-150K
Psychiatric Nurse,DBH,09,115907.0,2011-07-05,CS - Reg,2011,15,9.0,100K-125K
Lead Hr Spec. (Recruit/Place.),DCHR,13,107984.0,1973-03-19,CS - Reg,1973,53,13.0,100K-125K
Case Manager,DCOA,12,107046.0,2021-09-27,CS - Reg,2021,5,12.0,100K-125K
Hr Specialist (Benefits Financ,DCHR,12,95816.0,2021-08-30,CS - Term,2021,5,12.0,75K-100K
Distant Learning Classroom Spe,DCNG,11,96547.0,2025-09-08,CS - Temp,2025,1,11.0,75K-100K
Psychiatric Nurse,DBH,09,115907.0,2022-09-12,CS - Reg,2022,4,9.0,100K-125K
Data Analyst,DCG,13,107984.0,2022-12-05,CS - Reg,2022,4,13.0,100K-125K
Social Worker,DCOA,11,103763.0,2003-09-26,CS - Reg,2003,23,11.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,1991-06-17,CS - Reg,1991,35,8.0,50K-75K
Editor And Graphics Specialist,DCHR,12,90805.0,2014-10-20,CS - Reg,2014,12,12.0,75K-100K
"Recruitment, Placement & Mento",DCNG,10,83498.0,2013-10-20,CS - Term,2013,13,10.0,75K-100K
Human Resources Specialist (Em,DCHR,09,54183.0,2025-09-22,CS - Term,2025,1,9.0,50K-75K
Administrative Assistant,DCNG,09,76060.0,2014-06-16,CS - Term,2014,12,9.0,75K-100K
Supvy Auditor,DCA,14,155000.0,2011-11-21,MSS - Reg,2011,15,14.0,150K+
Behavioral Health Technician,DBH,08,72721.0,1994-01-12,CS - Reg,1994,32,8.0,50K-75K
Resource Allocation Analyst,DCG,12,103333.0,2023-01-03,CS - Reg,2023,3,12.0,100K-125K
Climate Control Maint Mechanic,DBH,11,41.73,2020-12-07,CS - Reg,2020,6,11.0,Under 50K
Supv Security Specialist,DBH,11,73344.0,1998-10-13,MSS - Reg,1998,28,11.0,50K-75K
Psychiatric Nurse,DBH,09,104691.0,2018-06-25,CS - Reg,2018,8,9.0,100K-125K
Behavioral Health Technician,DBH,08,70919.0,2014-09-22,CS - Reg,2014,12,8.0,50K-75K
Psychiatric Nurse,DBH,09,100952.0,2024-01-16,CS - Reg,2024,2,9.0,100K-125K
Housekeeping Aide,DBH,03,21.93,2023-08-28,CS - Reg,2023,3,3.0,Under 50K
Behavioral Health Technician,DBH,08,72721.0,1990-12-19,CS - Reg,1990,36,8.0,50K-75K
Psychiatric Nurse,DBH,09,115907.0,2012-01-30,CS - Reg,2012,14,9.0,100K-125K
Housekeeping Aide,DBH,03,25.43,2014-04-21,CS - Reg,2014,12,3.0,Under 50K
Behavioral Health Technician,DBH,08,63711.0,2021-10-25,CS - Reg,2021,5,8.0,50K-75K
Pyschiatric Nurse,DBH,07,86550.0,2008-07-07,CS - Reg,2008,18,7.0,75K-100K
Social Worker,DBH,11,82109.0,2025-10-06,CS - Reg,2025,1,11.0,75K-100K
Clinical Care Coordinator,DBH,12,109924.0,2016-02-22,CS - Reg,2016,10,12.0,100K-125K
Project Monitor (Sor),DBH,11,74893.0,2025-03-24,CS - Term,2025,1,11.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2020-12-07,CS - Reg,2020,6,9.0,100K-125K
Psychiatric Nurse,DBH,09,100952.0,2023-08-14,CS - Reg,2023,3,9.0,100K-125K
Incident Review Specialist,DBH,13,137561.0,2008-12-08,CS - Reg,2008,18,13.0,125K-150K
Behavioral Health Technician,DBH,08,72721.0,2008-11-24,CS - Reg,2008,18,8.0,50K-75K
Human Resources Specialist,DBH,13,113950.0,2008-02-04,CS - Reg,2008,18,13.0,100K-125K
Psychiatric Nurse,DBH,09,112169.0,2014-10-20,CS - Reg,2014,12,9.0,100K-125K
Home And Comm Based Svcs Coord,DBH,13,123873.0,2007-06-11,CS - Reg,2007,19,13.0,100K-125K
Clinical Support Manager (Sbhe,DBH,13,111023.14,2006-12-11,MSS - Reg,2006,20,13.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2011-01-03,CS - Reg,2011,15,9.0,100K-125K
Incident Investigation Manager,DBH,14,118782.15,2005-10-31,MSS - Reg,2005,21,14.0,100K-125K
Peer Counselor,DBH,07,53244.0,2024-05-06,CS - Reg,2024,2,7.0,50K-75K
Program Administrator,DBH,12,104168.0,2019-05-28,CS - Reg,2019,7,12.0,100K-125K
Housekeeping Aide,DBH,03,21.23,2023-12-04,CS - Reg,2023,3,3.0,Under 50K
Supervisory Psychiatric Nurse,DBH,13,119383.03,2020-03-30,CS - Reg,2020,6,13.0,100K-125K
Clinical Psychologist,DBH,13,117029.0,2020-11-09,CS - Reg,2020,6,13.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,2005-11-14,CS - Reg,2005,21,8.0,50K-75K
Podiatrist,DBH,01,216610.0,2001-01-29,CS - Term,2001,25,1.0,150K+
Behavioral Health Technician,DBH,08,72721.0,1994-08-22,CS - Reg,1994,32,8.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2012-08-27,CS - Reg,2012,14,9.0,100K-125K
Equal Employment Manager,DBH,13,119916.0,2000-11-27,CS - Reg,2000,26,13.0,100K-125K
Dental Resident,DBH,00,70325.0,2025-07-28,CS - Temp,2025,1,0.0,50K-75K
School Behav Hlth Clin Spec,DBH,12,95534.0,2024-09-09,CS - Reg,2024,2,12.0,75K-100K
Food Service Worker Foreman,DBH,05,32.74,1987-10-01,CS - Reg,1987,39,5.0,Under 50K
Behavioral Health Technician,DBH,08,58305.0,2024-04-22,CS - Reg,2024,2,8.0,50K-75K
Medical Technologist,DBH,09,86010.0,2022-12-19,CS - Reg,2022,4,9.0,75K-100K
Housekeeping Aide,DBH,03,26.13,2013-10-07,CS - Reg,2013,13,3.0,Under 50K
Behavioral Health Technician,DBH,08,70919.0,2016-10-03,CS - Reg,2016,10,8.0,50K-75K
Psychiatric Nurse,DBH,09,108430.0,2020-03-30,CS - Reg,2020,6,9.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2011-05-09,CS - Reg,2011,15,9.0,100K-125K
Community Outreach Specialist,DBH,09,70102.0,2023-06-05,CS - Term,2023,3,9.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,1991-06-03,CS - Reg,1991,35,8.0,50K-75K
Supvy. Clinical Psychologist,DBH,14,114441.0,2015-08-16,MSS - Reg,2015,11,14.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2014-04-21,CS - Reg,2014,12,9.0,100K-125K
"Deputy Director, Adult Service",DBH,16,158116.19,2020-08-03,MSS - Reg,2020,6,16.0,150K+
Care Coordinator,DBH,11,89329.0,2009-01-26,CS - Reg,2009,17,11.0,75K-100K
Clinical Psychologist,DBH,13,137566.0,2000-01-28,CS - Reg,2000,26,13.0,125K-150K
Medical Technician (Phlebotomy,DBH,07,72449.0,2011-07-05,CS - Reg,2011,15,7.0,50K-75K
Medical Officer (Psychiatry),DBH,5B,354115.0,2015-07-01,CS - Reg,2015,11,,150K+
Program Monitor,DBH,12,98412.0,1987-09-03,CS - Reg,1987,39,12.0,75K-100K
Behavioral Health Technician,DBH,08,72721.0,2008-05-27,CS - Reg,2008,18,8.0,50K-75K
Psychiatric Nurse,DBH,09,115907.0,2012-04-09,CS - Reg,2012,14,9.0,100K-125K
Housekeeping Aide,DBH,03,21.93,2023-11-06,CS - Term,2023,3,3.0,Under 50K
Social Worker,DBH,12,104168.0,2023-04-10,CS - Reg,2023,3,12.0,100K-125K
Community Support Worker,DBH,11,96547.0,1984-11-26,CS - Reg,1984,42,11.0,75K-100K
Clinical Administrator,DBH,13,104770.15,1994-09-06,MSS - Reg,1994,32,13.0,100K-125K
Policy Analyst,DBH,14,126178.0,2002-09-09,CS - Reg,2002,24,14.0,125K-150K
Psychiatric Nurse,DBH,11,125970.0,2007-02-20,CS - Reg,2007,19,11.0,125K-150K
Medical Officer (Psychiatry),DBH,5C,355442.0,2022-07-18,CS - Reg,2022,4,,150K+
Executive Assistant,DBH,14,124091.0,2017-08-07,CS - Reg,2017,9,14.0,100K-125K
Chaplain Resident,DBH,07,37336.0,2024-12-16,CS - Temp,2024,2,7.0,Under 50K
Clinical Psychologist,DBH,13,117029.0,2022-03-28,CS - Reg,2022,4,13.0,100K-125K
Security Guard,DBH,07,65760.0,1999-02-16,CS - Reg,1999,27,7.0,50K-75K
Psychiatric Nurse,DBH,09,97212.0,2024-10-07,CS - Reg,2024,2,9.0,75K-100K
Supply Clerk,DBH,06,60999.0,1999-11-08,CS - Reg,1999,27,6.0,50K-75K
Psychiatric Nurse,DBH,09,115907.0,2011-12-05,CS - Reg,2011,15,9.0,100K-125K
Motor Vehicle Operator,DBH,07,25.18,2025-06-25,CS - Term,2025,1,7.0,Under 50K
Supervisory Psychiatric Nurse,DBH,13,99513.91,2016-02-22,MSS - Reg,2016,10,13.0,75K-100K
Peer Support Specialist,DBH,09,72088.0,2018-05-29,CS - Reg,2018,8,9.0,50K-75K
Behavioral Health Technician,DBH,08,67315.0,2016-10-31,CS - Reg,2016,10,8.0,50K-75K
Recreation Therapist,DBH,12,121434.0,2001-02-10,CS - Reg,2001,25,12.0,100K-125K
Director Of Facilities,DBH,14,130964.91,1987-12-20,CS - Reg,1987,39,14.0,125K-150K
